Metric,Timestamp,Label,SR,Rate,GR,Load
offline,0,0,97656.0,25.0,0.8407559,270.0
offline,1,0,97656.0,25.0,0.5152432,270.0
offline,2,0,97656.0,25.0,-0.03834483,270.0
offline,3,0,97656.0,25.0,1.184862,270.0
offline,4,0,97656.0,25.0,0.8497145,270.0
offline,5,0,97656.0,25.0,-0.3333637,270.0
offline,6,0,97656.0,25.0,0.0906198,270.0
offline,7,0,97656.0,25.0,-0.3867708,270.0
offline,8,0,97656.0,25.0,-0.4381106,270.0
offline,9,0,97656.0,25.0,-0.7925295,270.0
offline,10,0,97656.0,25.0,-0.6022452,270.0
offline,11,0,97656.0,25.0,-2.45605,270.0
offline,12,0,97656.0,25.0,-2.551494,270.0
offline,13,0,97656.0,25.0,-0.5317453,270.0
offline,14,0,97656.0,25.0,0.1124133,270.0
offline,15,0,97656.0,25.0,1.156313,270.0
offline,16,0,97656.0,25.0,0.9938645,270.0
offline,17,0,97656.0,25.0,-0.1197107,270.0
offline,18,0,97656.0,25.0,0.2538068,270.0
offline,19,0,97656.0,25.0,0.4268385,270.0
offline,20,0,97656.0,25.0,0.9711233,270.0
offline,21,0,97656.0,25.0,-1.156264,270.0
offline,22,0,97656.0,25.0,0.1996983,270.0
offline,23,0,97656.0,25.0,0.04989996,270.0
offline,24,0,97656.0,25.0,0.06774335,270.0
offline,25,0,97656.0,25.0,0.104513,270.0
offline,26,0,97656.0,25.0,0.4074076,270.0
offline,27,0,97656.0,25.0,1.347299,270.0
offline,28,0,97656.0,25.0,0.2024917,270.0
offline,29,0,97656.0,25.0,0.1387108,270.0
offline,30,0,97656.0,25.0,-1.211874,270.0
offline,31,0,97656.0,25.0,-0.813154,270.0
offline,32,0,97656.0,25.0,-0.3587752,270.0
offline,33,0,97656.0,25.0,-0.4720622,270.0
offline,34,0,97656.0,25.0,-0.5422298,270.0
offline,35,0,97656.0,25.0,0.07645585,270.0
offline,36,0,97656.0,25.0,-0.0231718,270.0
offline,37,0,97656.0,25.0,0.6576827,270.0
offline,38,0,97656.0,25.0,0.7686563,270.0
offline,39,0,97656.0,25.0,1.495325,270.0
offline,40,0,97656.0,25.0,0.9547567,270.0
offline,41,0,97656.0,25.0,0.6494255,270.0
offline,42,0,97656.0,25.0,-0.6186734,270.0
offline,43,0,97656.0,25.0,0.1701029,270.0
offline,44,0,97656.0,25.0,-1.285487,270.0
offline,45,0,97656.0,25.0,-0.5347848,270.0
offline,46,0,97656.0,25.0,-0.5308347,270.0
offline,47,0,97656.0,25.0,-0.7979441,270.0
offline,48,0,97656.0,25.0,-0.273976,270.0
offline,49,0,97656.0,25.0,-0.6418821,270.0
offline,50,0,97656.0,25.0,-0.03694197,270.0
offline,51,0,97656.0,25.0,-0.974372,270.0
offline,52,0,97656.0,25.0,-0.4091181,270.0
offline,53,0,97656.0,25.0,-0.8617865,270.0
offline,54,0,97656.0,25.0,-0.2111919,270.0
offline,55,0,97656.0,25.0,0.3391105,270.0
offline,56,0,97656.0,25.0,-0.4166,270.0
offline,57,0,97656.0,25.0,-0.6549139,270.0
offline,58,0,97656.0,25.0,0.01357328,270.0
offline,59,0,97656.0,25.0,-1.151477,270.0
offline,60,0,97656.0,25.0,0.04991227,270.0
offline,61,0,97656.0,25.0,-0.02007074,270.0
offline,62,0,97656.0,25.0,-0.1250022,270.0
offline,63,0,97656.0,25.0,0.4551541,270.0
offline,64,0,97656.0,25.0,-0.4915423,270.0
offline,65,0,97656.0,25.0,-0.1408643,270.0
offline,66,0,97656.0,25.0,0.9412696,270.0
offline,67,0,97656.0,25.0,1.062272,270.0
offline,68,0,97656.0,25.0,0.3198028,270.0
offline,69,0,97656.0,25.0,0.9299974,270.0
offline,70,0,97656.0,25.0,-0.3648419,270.0
offline,71,0,97656.0,25.0,-1.481974,270.0
offline,72,0,97656.0,25.0,0.09218264,270.0
offline,73,0,97656.0,25.0,0.2512965,270.0
offline,74,0,97656.0,25.0,1.663816,270.0
